instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
BLUR,3,0,3,-1.2640715864645058,0.10238979850362558,0.05119489925181279,-1.4176562842199443,-0.00014176562842199442,0.0,0.0,0.0,-0.47255209473998144,-0.47255209473998144,128.0,102.38979850362557,50.56286345858054,-0.00014176562842199442,0.15358469775543837,-0.060964340564067604,0.006712784501841732,68,47,55,69
WIF,3,0,3,-1.2640715864645062,0.10238979850362544,0.05119489925181272,-1.4176562842199443,-0.00014176562842199442,0.0,0.0,0.0,-0.47255209473998144,-0.47255209473998144,8.666666666666666,102.38979850362543,50.562863458580466,-0.00014176562842199442,0.15358469775543815,-0.060964340564067604,0.006712784501841722,69,48,57,70
YGG,3,0,3,-1.2640715864645082,0.10238979850362541,0.051194899251812705,-1.4176562842199463,-0.00014176562842199464,0.0,0.0,0.0,-0.4725520947399821,-0.4725520947399821,12.666666666666666,102.3897985036254,50.56286345858045,-0.00014176562842199464,0.15358469775543812,-0.06096434056406769,0.00671278450184172,70,46,58,67
GMT,3,0,3,-1.2640715864645085,0.10238979850362541,0.051194899251812705,-1.4176562842199467,-0.00014176562842199467,0.0,0.0,0.0,-0.4725520947399822,-0.4725520947399822,105.66666666666667,102.3897985036254,50.56286345858045,-0.00014176562842199467,0.15358469775543812,-0.06096434056406771,0.00671278450184172,71,45,59,68
GMX,4,1,3,-1.680731079676525,0.13529175982668026,0.06764587991334013,-1.8836687194165451,-0.00018836687194165452,0.0,0.0,0.0,-0.4709171798541363,-0.4709171798541363,28.25,135.29175982668028,67.2292431870612,-0.00018836687194165452,0.20293763974002038,-0.08100455843821087,0.008869872212506352,72,44,52,41
METIS,4,1,3,-1.680731079676526,0.13529175982668035,0.06764587991334017,-1.8836687194165465,-0.00018836687194165465,0.0,0.0,0.0,-0.4709171798541366,-0.4709171798541366,45.0,135.29175982668033,67.22924318706123,-0.00018836687194165465,0.20293763974002052,-0.08100455843821093,0.008869872212506357,73,43,51,43
INJ,4,1,3,-1.680731079676527,0.13529175982668035,0.06764587991334017,-1.8836687194165476,-0.00018836687194165476,0.0,0.0,0.0,-0.4709171798541369,-0.4709171798541369,14.75,135.29175982668036,67.22924318706124,-0.00018836687194165476,0.20293763974002052,-0.08100455843821099,0.008869872212506357,74,42,50,42
DOGE,4,0,4,-1.6807121186027254,0.13613768160682133,0.06806884080341066,-1.8849186410129577,-0.00018849186410129577,0.0,0.0,0.0,-0.4712296602532394,-0.4712296602532394,12.25,136.13768160682136,67.22848474410932,-0.00018849186410129577,0.204206522410232,-0.08105830958136898,0.00892533174752341,75,41,49,51
COMP,4,0,4,-1.6807121186027267,0.13613768160682138,0.06806884080341069,-1.8849186410129588,-0.00018849186410129588,0.0,0.0,0.0,-0.4712296602532397,-0.4712296602532397,53.25,136.13768160682136,67.22848474410932,-0.00018849186410129588,0.20420652241023207,-0.08105830958136902,0.008925331747523413,76,40,47,52
KSM,4,0,4,-1.680712118602727,0.13613768160682133,0.06806884080341066,-1.8849186410129593,-0.00018849186410129594,0.0,0.0,0.0,-0.4712296602532398,-0.4712296602532398,93.0,136.13768160682133,67.22848474410931,-0.00018849186410129594,0.204206522410232,-0.08105830958136903,0.00892533174752341,77,39,48,48
TRB,4,0,4,-1.6807121186027283,0.1361376816068215,0.06806884080341075,-1.8849186410129608,-0.00018849186410129607,0.0,0.0,0.0,-0.4712296602532402,-0.4712296602532402,7.5,136.13768160682147,67.22848474410938,-0.00018849186410129607,0.20420652241023224,-0.0810583095813691,0.008925331747523422,78,38,42,44
BICO,4,0,4,-1.680712118602729,0.13613768160682144,0.06806884080341072,-1.8849186410129612,-0.00018849186410129613,0.0,0.0,0.0,-0.4712296602532403,-0.4712296602532403,68.5,136.13768160682145,67.22848474410937,-0.00018849186410129613,0.20420652241023216,-0.08105830958136913,0.008925331747523418,79,36,44,45
BONK,4,0,4,-1.680712118602729,0.1361376816068216,0.0680688408034108,-1.8849186410129612,-0.00018849186410129613,0.0,0.0,0.0,-0.4712296602532403,-0.4712296602532403,115.25,136.1376816068216,67.22848474410942,-0.00018849186410129613,0.2042065224102324,-0.08105830958136913,0.008925331747523428,80,37,41,49
CHZ,4,0,4,-1.6807121186027294,0.13613768160682138,0.06806884080341069,-1.8849186410129615,-0.00018849186410129615,0.0,0.0,0.0,-0.47122966025324037,-0.47122966025324037,34.5,136.13768160682142,67.22848474410935,-0.00018849186410129615,0.20420652241023207,-0.08105830958136913,0.008925331747523413,81,34,45,46
ENS,4,0,4,-1.680712118602729,0.13613768160682138,0.06806884080341069,-1.8849186410129615,-0.00018849186410129615,0.0,0.0,0.0,-0.47122966025324037,-0.47122966025324037,93.25,136.1376816068214,67.22848474410934,-0.00018849186410129615,0.20420652241023207,-0.08105830958136913,0.008925331747523413,82,35,46,47
