left_out,net_return,net_pnl,sharpe,max_drawdown,profit_factor,delta_net_return,delta_net_pnl,delta_sharpe,delta_max_drawdown,delta_profit_factor,total_trades
BAT,0.002628823993826357,26.28823993826346,0.21185131821668052,-0.02037170012122315,1.1290429359446368,0.00030343792206166675,3.0343792206177156,0.020874711694384623,0.00010851822617150703,0.015499904697590106,448
MAGIC,0.002628823993826357,26.28823993826346,0.21185122414054133,-0.02037170012122333,1.1290429359446368,0.00030343792206166675,3.0343792206177156,0.02087461761824544,0.00010851822617132661,0.015499904697590106,448
XRP,0.002628823993826357,26.288239938263473,0.21183646840039763,-0.02037170012122315,1.1290429359446366,0.00030343792206166675,3.03437922061773,0.020859861878101738,0.00010851822617150703,0.015499904697589884,448
LRC,0.0026750373140131956,26.750373140130815,0.21522594124939315,-0.02032548680103646,1.1316099998095337,0.0003496512422485054,3.496512422485072,0.024249334727097255,0.0001547315463581965,0.018066968562487018,447
MEME,0.0026750373140131956,26.750373140130815,0.21523112090273575,-0.02032548680103646,1.1316099998095337,0.0003496512422485054,3.496512422485072,0.02425451438043985,0.0001547315463581965,0.018066968562487018,447
SATS,0.0026750373140131956,26.750373140130815,0.21522677412181776,-0.02032548680103646,1.1316099998095335,0.0003496512422485054,3.496512422485072,0.024250167599521866,0.0001547315463581965,0.018066968562486796,447
APT,0.002675161265699,26.751612656988748,0.21522870733852886,-0.020325362849350676,1.131616900791729,0.00034977519393430967,3.4977519393430043,0.02425210081623297,0.00015485549804397994,0.018073869544682264,447
AR,0.0027208689258613195,27.208689258613795,0.21856791673651854,-0.02027965518918809,1.1341674155935346,0.0003954828540966293,3.9548285409680517,0.027591310214222647,0.00020056315820656673,0.020624384346487945,446
PEPE,0.0027209921862065833,27.20992186206673,0.21857551805032957,-0.02027953192884288,1.1341743091386005,0.0003956061144418932,3.9560611444209854,0.027598911528033676,0.0002006864185517751,0.020631277891553834,446
FLOKI,0.0027211154446926678,27.211154446926624,0.21858969668546716,-0.020279408670356863,1.134181202663479,0.0003957293729279776,3.957293729280881,0.02761309016317126,0.0002008096770377936,0.020638171416432316,446
FLOW,0.0027211154446926678,27.211154446926624,0.2185977121821476,-0.020279408670356863,1.1341812026634792,0.0003957293729279776,3.957293729280881,0.027621105659851708,0.0002008096770377936,0.020638171416432538,446
LQTY,0.0027211154446926678,27.211154446926642,0.21859469865148048,-0.020279408670356863,1.1341812026634792,0.0003957293729279776,3.9572937292808987,0.02761809212918459,0.0002008096770377936,0.020638171416432538,446
BIGTIME,0.0027212387013193506,27.21238701319379,0.21860091560977812,-0.020279285413730214,1.1341880961681698,0.0003958526295546605,3.9585262955480474,0.02762430908748223,0.0002009329336644418,0.02064506492112317,446
LDO,0.0028124980055816984,28.124980055818043,0.2252800827139319,-0.020188026109467863,1.1393151559410166,0.00048711193381700824,4.871119338172299,0.03430347619163601,0.000292192237926793,0.025772124693969944,444
ORDI,0.0028124980055816984,28.124980055818043,0.22527241259096206,-0.020188026109467863,1.1393151559410166,0.00048711193381700824,4.871119338172299,0.03429580606866617,0.000292192237926793,0.025772124693969944,444
