member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-46.475971460154064,3.764553688272481,1.8822768441362405,-52.122801992562785,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,1096.410803328072,2.600817792687212,1.300408896343606,1092.5095766390411,0.0,end_of_data
okx:linear_perpetual:METIS:USDT:USDT:perp,long,-50.0,3.9500000000000046,1.9750000000000023,-55.925000000000004,0.0,stop_loss
okx:linear_perpetual:METIS:USDT:USDT:perp,short,-49.720374999999756,4.027350375000002,2.013675187500001,-55.76140056249976,0.0,stop_loss
okx:linear_perpetual:METIS:USDT:USDT:perp,short,-49.441567997187256,4.004767007772176,2.002383503886088,-55.44871850884552,7.105427357601002e-15,stop_loss
okx:linear_perpetual:METIS:USDT:USDT:perp,short,-49.16432440464305,3.982310276776098,1.991155138388049,-55.13778981980719,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEW:USDT:USDT:perp,long,-50.0,3.9499999999999797,1.9749999999999899,-55.92499999999997,0.0,stop_loss
okx:linear_perpetual:MEW:USDT:USDT:perp,short,-49.720375000000004,4.027350375000009,2.0136751875000045,-55.761400562500015,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEW:USDT:USDT:perp,short,-49.44156799718728,4.004767007772183,2.0023835038860915,-55.44871850884556,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEW:USDT:USDT:perp,short,-49.16432440464306,3.9823102767761034,1.9911551383880517,-55.13778981980722,0.0,stop_loss
okx:linear_perpetual:MEW:USDT:USDT:perp,short,-48.8886354555438,3.9599794718990715,1.9799897359495358,-54.82860466339241,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MINA:USDT:USDT:perp,long,-49.99999999999999,3.949999999999987,1.9749999999999934,-55.924999999999976,0.0,stop_loss
okx:linear_perpetual:NEAR:USDT:USDT:perp,long,-50.0,3.950000000000003,1.9750000000000014,-55.925000000000004,0.0,stop_loss
okx:linear_perpetual:NEO:USDT:USDT:perp,short,-49.999999999999574,4.0499999999999945,2.0249999999999972,-56.07499999999957,0.0,stop_loss
okx:linear_perpetual:NEO:USDT:USDT:perp,short,-49.71962499999958,4.0272896249999794,2.0136448124999897,-55.76055943749955,0.0,stop_loss
okx:linear_perpetual:NEO:USDT:USDT:perp,short,780.7984016313103,3.174467374593683,1.5872336872968416,776.0367005694197,1.1368683772161603e-13,end_of_data
okx:linear_perpetual:NMR:USDT:USDT:perp,long,-50.0,3.949999999999987,1.9749999999999934,-55.92499999999998,0.0,stop_loss
okx:linear_perpetual:ONE:USDT:USDT:perp,long,-50.0,3.950000000000003,1.9750000000000014,-55.925000000000004,0.0,stop_loss
okx:linear_perpetual:ONT:USDT:USDT:perp,long,-50.0,3.949999999999993,1.9749999999999965,-55.92499999999999,0.0,stop_loss
okx:linear_perpetual:OP:USDT:USDT:perp,short,-49.99999999999969,4.049999999999986,2.024999999999993,-56.07499999999967,7.105427357601002e-15,stop_loss
okx:linear_perpetual:OP:USDT:USDT:perp,short,-49.71962500000001,4.027289625000003,2.0136448125000017,-55.760559437500014,0.0,stop_loss
okx:linear_perpetual:OP:USDT:USDT:perp,short,-49.44082220281219,4.00470659842781,2.002353299213905,-55.44788210045391,0.0,stop_loss
